source_id,producer,acronym,url,api_endpoint,category,data_domains,geographic_level,earliest_coverage,latest_coverage,languages,formats,machine_readable,access_model,update_frequency,access_status,verified_2026_09_12,licence,notes
OS-GDELT,GDELT Project,GDELT,https://www.gdeltproject.org,https://api.gdeltproject.org/api/v2/doc/doc,media_corpus,global news monitoring; article-level metadata; tone and theme coding; television and image indexes,national_and_subnational,2015,2026,multilingual_incl_ar,json_csv_bigquery,yes,open_rate_limited,15_minutes,live,api_200_rate_limited,check upstream terms,"Filter Libya with sourcecountry:LY or by language. The DOC API refuses more than one request every 5 seconds and says so in the response body rather than with a 429, so a naive loop silently collects error text. Bulk history is in BigQuery."
OS-HDX,OCHA Humanitarian Data Exchange,HDX,https://data.humdata.org,https://data.humdata.org/api/3/action/package_search,humanitarian,aggregator: administrative boundaries; population; displacement; health and education facilities; damage assessments; security incidents,national_and_subnational,1990,2026,en_ar,csv_xlsx_shp_geotiff_json,yes,open,continuous,live,228_libya_datasets,per_dataset,"CKAN API, fq=groups:lby. Top providers for Libya: World Bank 23, UNOSAT 22, HOT 12, OCHA ROMENA 11, Insecurity Insight 10, REACH 8, WorldPop 7. Already used in this repository for COD-AB boundaries. Licences vary per dataset and several are share-alike or non-commercial."
OS-UNOSAT,United Nations Satellite Centre,UNOSAT,https://unosat.org,https://data.humdata.org/organization/un-operational-satellite-appliations-programme-unosat,imagery_analysis,satellite damage assessment; flood extent; building damage; displacement site mapping,subnational_point,2011,2026,en,shp_geojson_pdf,yes,open_via_hdx,event_driven,live,22_libya_datasets_on_hdx,per_dataset,"Analyst-verified imagery products, so the interpretation is already done. Derna flood 2023 and successive conflict damage assessments are the largest Libya holdings. Reached through HDX rather than the UNOSAT site."
OS-UNHCR,UNHCR Refugee Data Finder,UNHCR,https://www.unhcr.org/refugee-statistics,https://api.unhcr.org/population/v1/population/,displacement,"refugees; asylum seekers; IDPs; returned refugees and IDPs; stateless persons, by origin and asylum country",national,1951,2025,en,json_csv,yes,open,annual,live,api_200_libya_series_returned,check upstream terms,"Open API, no key. Query coo=LBY for Libyans displaced and coa=LBY for people displaced into Libya. Returned 278,177 IDPs in Libya for 2020 in the probe."
OS-IOMDTM,IOM Displacement Tracking Matrix,DTM,https://dtm.iom.int,https://data.humdata.org/dataset/lby-iom-dtm-from-api,displacement,IDP and returnee baseline assessments by mahalla and baladiya; migrant stock and nationality; flow monitoring,subnational_locality,2016,2026,en_ar,xlsx_csv,yes,open_via_hdx,quarterly,live_api_path_unknown,dtm_api_404_hdx_mirror_200,check upstream terms,"The single best subnational source on Libya after the census, and it is keyed to the same baladiya and mahalla names this repository already harmonises. dtm.iom.int/api returned 403 and dtmapi.iom.int returned 404 on every path tried; reach it through the four HDX datasets instead."
OS-ACLED,Armed Conflict Location and Event Data,ACLED,https://acleddata.com,https://acleddata.com/api/acled/read,conflict_events,geocoded political violence and protest events; actors; fatalities; event type and sub-event type,subnational_point,1997,2026,en,json_csv,yes,registration_oauth,weekly,live_key_required,api_access_denied_oauth_endpoint_present,acled_terms_noncommercial,"The reference conflict event dataset for Libya. Unauthenticated reads now return {""message"":""Access denied""} and /oauth/token answers 405 to GET, so the free-key OAuth flow is mandatory. Actor names are the natural join to an armed-group roster."
OS-UCDP,Uppsala Conflict Data Program,UCDP,https://ucdp.uu.se,https://ucdpapi.pcr.uu.se/api/gedevents/25.1,conflict_events,georeferenced event dataset; battle deaths; one-sided and non-state violence,subnational_point,1989,2025,en,json_csv,yes,registration_token,annual_plus_candidate_monthly,live_key_required,api_token_required,check upstream terms,Libya is country 620. The API now answers 'API token required. Add header: x-ucdp-access-token'. Annual releases are also downloadable as flat files. Narrower than ACLED but with a longer and more conservative coding history.
OS-UNSC1970,UN Security Council Libya Sanctions Committee (1970),UNSC,https://main.un.org/securitycouncil/en/sanctions/1970,https://scsanctions.un.org/resources/xml/en/consolidated.xml,sanctions_entities,designated individuals and entities; Panel of Experts annual reports; asset freeze and travel ban records,national,2011,2026,en,xml_pdf,yes,open,event_driven,live,28_individuals_3_entities,un_terms,"The consolidated list is a single 2.1 MB XML; Libya designations carry reference numbers LYi.001 upward and LYe.001 upward. The Panel of Experts reports are the richer OSINT product: named procurement chains, oil smuggling networks and armed-group finances, published as PDFs on the committee page."
OS-OFAC,US Treasury Office of Foreign Assets Control,OFAC,https://ofac.treasury.gov,https://www.treasury.gov/ofac/downloads/sdn.csv,sanctions_entities,Specially Designated Nationals; blocked entities; sanctions programme tags,national,1994,2026,en,csv_xml,yes,open,event_driven,live,sdn_csv_5.7mb_200,us_gov_public_domain,"Filter on the LIBYA2 and LIBYA3 programme tags. Complements the UN list, since US designations are broader and sometimes earlier."
OS-OPENSANC,OpenSanctions,OpenSanctions,https://www.opensanctions.org,https://data.opensanctions.org/datasets/latest/,sanctions_entities,"merged sanctions lists; politically exposed persons; company and officer records, entity-resolved across sources",national,2000,2026,multilingual,json_csv,yes,open_bulk_key_for_api,daily,live,bulk_index_200_api_key_required,not_stated_in_index_check_upstream,"The PEPs collection holds 710,657 targets and ships as a 178 MB CSV or a 1.3 GB nested JSON; the sanctions collection holds 293,095 entities. The search API needs a key but the bulk files do not. This is the fastest route to a Libyan PEP roster, and it carries the UN and OFAC Libya designations already resolved."
OS-WIKIDATA,Wikidata,WD,https://www.wikidata.org,https://query.wikidata.org/sparql,reference_knowledge,officeholders and terms of office; institutions; settlements; administrative units; identifiers linking to other databases,national_and_subnational,2012,2026,multilingual_incl_ar,json_rdf,yes,open,continuous,live,151_libyan_officeholders_135_dated,cc0,"SPARQL returns 151 people holding a position applicable to Libya, 135 of those statements carrying a start date. Small and uneven, but CC0 and already linked to VIAF and national identifiers, so it is a seed and a reconciliation target rather than a source of record."
OS-IODA,"Internet Outage Detection and Analysis, Georgia Tech",IODA,https://ioda.inetintel.cc.gatech.edu,https://api.ioda.inetintel.cc.gatech.edu/v2/,network_measurement,"country and ASN level internet connectivity; outage alerts from BGP, active probing and darknet telescope",national_and_asn,2016,2026,en,json,yes,open,near_real_time,live,api_200_ly_alerts_returned,check upstream terms,Shutdowns and connectivity collapses are a direct observable of conflict and of state behaviour. Query entityType=country&entityCode=LY.
OS-OONI,Open Observatory of Network Interference,OONI,https://ooni.org,https://api.ooni.io/api/v1/measurements,network_measurement,censorship measurements; blocked websites and apps; per-network test results from volunteer probes,national_and_asn,2012,2026,en,json,yes,open,continuous,live,api_200_probe_cc_ly,cc_by_check_upstream,"Measures which sites are blocked on which Libyan networks. Volunteer-collected, so coverage is thin and irregular; treat absence as absence of measurement."
