source_id,institution_en,institution_ar,acronym,url,tier,sector,data_domains,geographic_level,earliest_coverage,latest_coverage,languages,formats,machine_readable,update_frequency,access_status,verified_2026_09_09,notes
LY-BSC,Bureau of Statistics and Census,مصلحة الإحصاء والتعداد,BSC,https://bsc.ly,national_statistical_office,statistics,"population census; consumer price index; foreign trade; vital statistics; labour force; household income and expenditure; MICS; family health survey; ICT indicators",national_and_municipality,1954,2026,ar_primary_en_partial,pdf_html,no,irregular,live,content_catalogued,"Official NSO. Publication catalogue exposed via wp-sitemap-posts-*.xml under economic_statistics, demog_statist, vital-administrative and social_statistics post types. Front-end listing pages are JavaScript-rendered; enumerate via sitemap instead."
LY-CBL,Central Bank of Libya,مصرف ليبيا المركزي,CBL,https://cbl.gov.ly,central_bank,macro_finance,"quarterly economic bulletin; money supply; monetary base; required reserves; consolidated commercial bank balance sheet; capital adequacy; currency in circulation; balance of payments; foreign trade; uses of foreign exchange; exchange rates; annual reports; financial stability",national,2004,2026,ar_en,pdf_html,no,quarterly_and_monthly,live,content_catalogued,"Richest continuous Libyan macro series. Monetary tables run 2004 to present. Uses-of-foreign-exchange releases are cumulative year-to-date and monthly. Daily exchange rate table on site. English site under /en/."
LY-MOF,Ministry of Finance,وزارة المالية,MoF,https://mof.gov.ly,line_ministry,public_finance,"monthly financial report; transparency report; budget legislation; circulars",national,NA,2026,ar,pdf_html,no,monthly_claimed,live,partially_catalogued,"Sections: /reports/, /transparency_report/, /publications/, /legislation/. Actual release cadence needs verification against archived snapshots."
LY-AUDIT,Libyan Audit Bureau,ديوان المحاسبة,LAB,https://audit.gov.ly,oversight_body,public_finance,"annual report on public finance and institutional performance; audit findings by ministry and state company",national_and_institutional,2012,2026,ar,pdf,no,annual,live_scraper_blocked,not_catalogued,"Returns HTTP 200 with an empty body to scripted clients. Annual reports are the single most detailed public account of Libyan state spending and institutional performance. Retrieve manually or via web archive."
LY-ACA,Administrative Control Authority,هيئة الرقابة الإدارية,ACA,https://aca.gov.ly,oversight_body,public_administration,"administrative oversight reports; public employment and disciplinary decisions",national,NA,2026,ar,pdf_html,no,irregular,live,not_catalogued,Reachable. Content inventory pending.
LY-TAX,Tax Authority,مصلحة الضرائب,,https://tax.gov.ly,line_agency,public_finance,"tax law texts (Law1.aspx executive, Law2.aspx administrative); circulars",national,NA,unknown,ar,html_aspx,no,irregular,live_compromised,content_inspected,"WARNING: homepage carries injected SEO spam linking to gambling and unrelated domains, indicating the site is compromised. Do not treat any document served from this host as authenticated without cross-checking. Flagged 2026-09-09."
LY-CUSTOMS,Customs Authority,مصلحة الجمارك,,https://customs.gov.ly,line_agency,trade,"customs tariffs; import and export procedures",national,NA,unknown,ar,unknown,no,unknown,live_scraper_blocked,not_catalogued,Returns HTTP 403 to datacenter IPs.
LY-LCMA,Libyan Capital Market Authority,هيئة سوق المال الليبي,LCMA,https://lcma.gov.ly,regulator,finance,"register of licensed companies; circulars and announcements; regulated-occupation registry",national,NA,2026,ar,html,partial,irregular,live,content_catalogued,"/licensed-companies/ is a usable firm-level register. /duty-registration-jobs/ lists regulated occupations."
LY-LSM,Libyan Stock Market,السوق المالي الليبي,LSM,https://lsm.gov.ly,exchange,finance,"listed securities; trading data",national,2007,unknown,ar,unknown,no,unknown,offline,verified_dead,"Domain 301-redirects to a bare IP (41.208.106.218) that does not serve a site. Treat as defunct; use LCMA and CBL for capital market data instead."
LY-LFB,Libyan Foreign Bank,المصرف الليبي الخارجي,LFB,https://www.lfb.ly,state_bank,finance,"annual reports; financial statements",national_and_international,NA,2026,ar_en,pdf_html,no,annual,live,not_catalogued,Reachable. Content inventory pending.
